Contig	Length	xStart	ystart	yend
BES1_Tb427v10	78658	4884622	65000	65000
BES2_Tb427v10	82248	4884622	60000	60000
BES3_Tb427v10	64902	4884622	55000	55000
BES4_Tb427v10	68373	4884622	50000	50000
BES5_Tb427v10	67356	4884622	45000	45000
BES7_Tb427v10	88196	4884622	40000	40000
BES10_Tb427v10	41824	4884622	35000	35000
BES11_Tb427v10	66776	4884622	30000	30000
BES12_Tb427v10	48283	4884622	25000	25000
BES13_Tb427v10	63954	4884622	20000	20000
BES14_Tb427v10	77389	4884622	15000	15000
BES15_Tb427v10	91008	4884622	10000	10000
BES17_Tb427v10	86318	4884622	5000	5000
