Contig	Length	xStart	ystart	yend
Chr1_3A_Tb427v10	2154499	1707632	7000	7000
Chr3_3A_Tb427v10	129844	2322721	27000	27000
Chr4_3A_Tb427v10	930449	2275704	37000	37000
Chr5_3A_Tb427v10	539199	2301808	47000	47000
Chr6_3A_Tb427v10	1329496	2167144	57000	57000
Chr8_3A_Tb427v10	504318	3220622	77000	77000
Chr9_3A_Tb427v10	1485494	3056432	87000	87000
Chr10_3A_Tb427v10	1615950	4884622	97000	97000
Chr11_3A_Tb427v10	1072949	5497253	107000	107000
Chr1_3B_Tb427v10	745022	1707632	3000	3000
Chr4_3B_Tb427v10	285386	2275704	33000	33000
Chr5_3B_Tb427v10	374842	2301808	43000	43000
Chr6_3B_Tb427v10	1075566	2167144	53000	53000
Chr8_3B_Tb427v10	20420	3220622	73000	73000
Chr9_3B_Tb427v10	512722	3056432	83000	83000
Chr10_3B_Tb427v10	967186	4884622	93000	93000
Chr11_3B_Tb427v10	904798	5497253	103000	103000
Chr1_3connector	0	1707632	3000	7000
Chr2_3connector	0	1746414	15000	17000
Chr3_3connector	0	2322721	25000	27000
Chr4_3connector	0	2275704	33000	37000
Chr5_3connector	0	2301808	43000	47000
Chr6_3connector	0	2167144	53000	57000
Chr8_3connector	0	3220622	73000	77000
Chr9_3connector	0	3056432	83000	87000
Chr10_3connector	0	4884622	93000	97000
Chr11_3connector	0	5497253	103000	107000
Chr1_5connector	0	863524	3000	7000
Chr2_5connector	0	863524	15000	17000
Chr3_5connector	0	863524	23000	27000
Chr4_5connector	0	863524	33000	37000
Chr5_5connector	0	863524	45000	47000
Chr6_5connector	0	863524	55000	57000
Chr7_5connector	0	863524	65000	67000
Chr8_5connector	0	863524	73000	77000
Chr9_5connector	0	863524	83000	87000
Chr10_5connector	0	863524	93000	97000
Chr11_5connector	0	863524	103000	107000
Chr1_5A_Tb427v10	223324	640200	7000	7000
Chr2_5A_Tb427v10	201304	662220	17000	17000
Chr3_5A_Tb427v10	501007	362517	27000	27000
Chr4_5A_Tb427v10	85426	778098	37000	37000
Chr7_5A_Tb427v10	863524	0	67000	67000
Chr8_5A_Tb427v10	780781	82743	77000	77000
Chr9_5A_Tb427v10	336964	526560	87000	87000
Chr10_5A_Tb427v10	58970	804554	97000	97000
Chr11_5A_Tb427v10	32082	831442	107000	107000
Chr1_5B_Tb427v10	100458	763066	3000	3000
Chr3_5B_Tb427v10	25795	837729	23000	23000
Chr4_5B_Tb427v10	50071	813453	33000	33000
Chr8_5B_Tb427v10	788462	75062	73000	73000
Chr9_5B_Tb427v10	101509	762015	83000	83000
Chr10_5B_Tb427v10	76626	786898	93000	93000
Chr11_5B_Tb427v10	14616	848908	103000	103000
Chr1_core_Tb427v10	844108	863524	5000	5000
Chr2_core_Tb427v10	882890	863524	15000	15000
Chr3_core_Tb427v10	1459197	863524	25000	25000
Chr4_core_Tb427v10	1412180	863524	35000	35000
Chr5_core_Tb427v10	1438284	863524	45000	45000
Chr6_core_Tb427v10	1303620	863524	55000	55000
Chr7_core_Tb427v10	2289182	863524	65000	65000
Chr8_core_Tb427v10	2357098	863524	75000	75000
Chr9_core_Tb427v10	2192908	863524	85000	85000
Chr10_core_Tb427v10	4021098	863524	95000	95000
Chr11_core_Tb427v10	4633729	863524	105000	105000
BES12_Tb427v10	48283	1746414	17000	17000
BES15_Tb427v10	91008	2452565	27000	27000
BES1_Tb427v10	78658	784866	57000	57000
BES3_Tb427v10	64902	748551	33000	33000
BES5_Tb427v10	67356	796168	47000	47000
