Geneid	Chr	Start	End	Strand	Length	70aU	70bU	70ai	70bi	RAD50-3U	RAD50-4U	RAD50-3i	RAD50-4i
Tb427_010006200	Chr1_core_Tb427v10	33710	34309	-	600	6	0	0	0	6	0	2	0
Tb427_000655200	unitig_1853_Tb427v10	26627	29008	-	2382	89	33	25	3	10	26	14	23
Tb427_100148100	Chr10_core_Tb427v10	3400699	3401784	-	1086	0	0	0	0	0	0	0	0
Tb427_000717500:pseudogene	unitig_2138_Tb427v10	16903	18203	-	1301	0	0	0	0	0	0	0	0
Tb427_000155800:pseudogene	Chr11_3B_Tb427v10	357090	357953	+	864	0	0	0	0	0	0	0	0
Tb427_070027300	Chr7_core_Tb427v10	567051	567752	-	702	0	9	8	0	18	0	1	2
Tb427_080066000	Chr8_core_Tb427v10	1649697	1649801	+	105	0	0	0	0	0	0	1	0
Tb427_000772800:pseudogene	unitig_2457_Tb427v10	8903	9277	+	375	0	0	0	0	2	0	2	0
Tb427_000292600:pseudogene	Chr3_5A_Tb427v10	128134	129622	+	1489	0	0	0	0	0	0	0	0
Tb427_100035700	Chr10_core_Tb427v10	783503	783931	+	429	0	0	0	0	0	0	0	0
Tb427_100095500	Chr10_core_Tb427v10	2190483	2191349	+	867	0	79	22	34	31	85	12	55
Tb427_060027100	Chr6_core_Tb427v10	595288	595707	+	420	0	0	0	0	0	0	0	0
Tb427_000023800	BES7_Tb427v10	19927	21825	+	1899	0	0	0	0	0	0	0	0
Tb427_000233400:pseudogene	Chr1_3A_Tb427v10	1779802	1780882	+	1081	0	0	0	0	0	0	0	0
Tb427_030057000	Chr3_core_Tb427v10	1370441	1370758	+	318	0	7	0	2	0	0	0	0
Tb427_000837100:pseudogene	unitig_50_Tb427v10	18598	18988	-	391	0	0	0	0	0	0	0	0
Tb427_100016100	Chr10_core_Tb427v10	276771	278039	-	1269	64	2	1	4	41	4	2	8
Tb427_080005000	Chr8_core_Tb427v10	1192	2190	-	999	0	0	0	0	3	2	0	6
Tb427_090070800	Chr9_core_Tb427v10	1620327	1621400	+	1074	0	6	0	3	13	19	6	6
Tb427_000105600	Chr10_3B_Tb427v10	929315	930286	-	972	0	0	0	0	0	0	0	0
Tb427_010014200	Chr1_core_Tb427v10	272767	273090	+	324	0	2	0	0	0	0	0	0
Tb427_100012700	Chr10_core_Tb427v10	191752	193581	+	1830	0	0	0	0	0	0	0	22
Tb427_050032700	Chr5_core_Tb427v10	900018	900737	+	720	28	2	0	4	8	0	2	0
Tb427_000792500	unitig_2569_Tb427v10	6711	6872	-	162	184	52	30	7	83	71	26	54
Tb427_100065400	Chr10_core_Tb427v10	1531796	1532536	-	741	0	0	0	0	0	0	0	0
Tb427_000518200	Chr8_5A_Tb427v10	552722	553960	+	1239	0	0	0	0	0	0	0	0
Tb427_100012500	Chr10_core_Tb427v10	189080	189706	+	627	18	4	0	0	0	0	0	2
Tb427_040006100	Chr4_core_Tb427v10	40669	47907	-	7239	0	26	0	0	20	6	4	4
Tb427_000032900	Chr10_3A_Tb427v10	261130	261555	-	426	0	0	0	0	0	0	0	0
Tb427_000317500	Chr4_3A_Tb427v10	386923	387744	-	822	0	0	0	0	0	0	0	0
Tb427_000731800	unitig_2198_Tb427v10	22094	22560	+	467	0	0	0	0	0	0	0	0
Tb427_110132900	Chr11_core_Tb427v10	3179368	3181974	+	2607	0	0	0	0	0	0	0	0
Tb427_000550900	Chr9_3A_Tb427v10	55866	57410	+	1545	0	0	0	0	0	0	0	0
Tb427_070032100	Chr7_core_Tb427v10	711542	712378	+	837	0	7	0	0	0	0	4	8
Tb427_000033600:pseudogene	Chr10_3A_Tb427v10	279444	282503	+	3060	0	0	0	0	0	0	0	0
Tb427_110100500	Chr11_core_Tb427v10	2559453	2561456	+	2004	0	0	0	0	6	0	2	0
Tb427_080076200	Chr8_core_Tb427v10	1899158	1899451	+	294	0	0	0	0	0	0	0	0
Tb427_110025600	Chr11_core_Tb427v10	556746	557150	+	405	0	0	0	0	0	0	0	0
Tb427_000545000:pseudogene	Chr8_5B_Tb427v10	649999	650600	+	602	0	0	0	0	0	0	0	0
Tb427_000355000	Chr5_3A_Tb427v10	152260	153213	+	954	0	0	0	0	2	0	33	79
Tb427_000508500:pseudogene	Chr8_5A_Tb427v10	255330	256992	+	1663	0	7	0	0	50	14	18	17
Tb427_090072300	Chr9_core_Tb427v10	1653312	1654574	+	1263	0	0	0	0	4	0	0	2
Tb427_050050200:pseudogene	Chr5_core_Tb427v10	1339076	1341564	-	2489	30	8	2	0	0	14	4	2
Tb427_000154300:pseudogene	Chr11_3B_Tb427v10	307613	308197	-	585	0	0	0	0	0	0	0	0
Tb427_100025700	Chr10_core_Tb427v10	511786	512430	+	645	0	0	0	0	0	0	0	0
Tb427_000763400	unitig_2344_Tb427v10	32035	32406	+	372	0	0	0	0	0	0	0	0
Tb427_000553800	Chr9_3A_Tb427v10	136841	138493	-	1653	63	296	0	0	8	494	67	214
Tb427_060049100	Chr6_core_Tb427v10	1121360	1123171	-	1812	0	7	0	2	0	0	0	0
Tb427_090083800	Chr9_core_Tb427v10	1911519	1913120	-	1602	51	6	0	0	16	0	0	0
Tb427_000413900	Chr6_3A_Tb427v10	1104856	1106271	-	1416	0	0	0	0	0	0	0	0
Tb427_020025100	Chr2_core_Tb427v10	601472	603658	-	2187	0	0	2	6	0	2	0	4
Tb427_110039500	Chr11_core_Tb427v10	977032	978624	+	1593	0	0	0	0	0	0	0	0
Tb427_000399000:pseudogene	Chr6_3A_Tb427v10	625220	626547	-	1328	0	0	0	0	0	0	0	0
Tb427_100067500	Chr10_core_Tb427v10	1588017	1590605	-	2589	0	8	10	2	14	0	4	0
Tb427_100014800	Chr10_core_Tb427v10	249596	250027	+	432	6	5	0	0	0	0	0	1
Tb427_040036900:pseudogene	Chr4_core_Tb427v10	808573	810912	-	2340	0	8	0	0	0	0	0	0
Tb427_100079600	Chr10_core_Tb427v10	1859094	1861250	-	2157	0	0	0	0	6	20	10	2
Tb427_040008600	Chr4_core_Tb427v10	112462	114420	-	1959	0	2	0	0	18	0	0	0
Tb427_000020200:pseudogene	BES3_Tb427v10	62915	64519	+	1605	2026	2024	358096	469193	7004	8071	338001	464421
Tb427_070025500	Chr7_core_Tb427v10	513426	515402	-	1977	0	4	0	0	0	0	0	0
Tb427_100133200	Chr10_core_Tb427v10	3045584	3045958	+	375	0	0	0	0	0	0	0	0
Tb427_000581200:pseudogene	Chr9_3A_Tb427v10	908136	911233	-	3098	0	0	0	0	0	0	0	0
Tb427_060029500	Chr6_core_Tb427v10	641648	644647	+	3000	40	0	0	0	11	3	0	0
Tb427_000043400	Chr10_3A_Tb427v10	563201	564712	+	1512	0	12	0	5	12	20	8	14
Tb427_000421000:pseudogene	Chr6_3B_Tb427v10	13978	16681	+	2704	0	0	0	0	0	0	0	0
Tb427_000551300	Chr9_3A_Tb427v10	72871	74388	+	1518	0	0	0	0	0	0	0	0
Tb427_000740400:pseudogene	unitig_2219_Tb427v10	19820	21258	-	1439	0	0	0	5	3	0	2	2
Tb427_040011200	Chr4_core_Tb427v10	181872	182441	-	570	0	0	0	0	3	0	0	0
Tb427_020020000	Chr2_core_Tb427v10	481147	482439	-	1293	0	0	0	4	0	3	2	4
Tb427_000429700:pseudogene	Chr6_3B_Tb427v10	275917	277485	-	1569	0	0	0	0	0	0	0	0
Tb427_000295000:pseudogene	Chr3_5A_Tb427v10	203833	204614	+	782	0	0	0	0	0	0	2	2
Tb427_070080000	Chr7_core_Tb427v10	2080592	2081554	-	963	0	0	0	0	0	0	0	0
Tb427_000527900:pseudogene	Chr8_5B_Tb427v10	119619	119983	+	365	0	0	0	0	0	0	0	0
Tb427_000839600	unitig_520_Tb427v10	29445	29993	-	549	0	0	0	0	0	0	0	0
Tb427_050014600	Chr5_core_Tb427v10	358574	359164	+	591	50	61	0	3	0	4	0	0
Tb427_110046000	Chr11_core_Tb427v10	1156596	1158242	+	1647	0	52	0	0	4	0	2	2
Tb427_090050400	Chr9_core_Tb427v10	1151395	1153152	-	1758	0	10	2	0	0	0	2	0
Tb427_000153400:pseudogene	Chr11_3B_Tb427v10	282613	283633	+	1021	0	0	0	0	0	0	0	0
Tb427_000732000:pseudogene	unitig_219_Tb427v10	5916	6812	+	897	0	0	0	0	0	0	0	0
Tb427_000564800:pseudogene	Chr9_3A_Tb427v10	435867	437105	+	1239	0	0	0	0	0	0	0	0
Tb427_100082400	Chr10_core_Tb427v10	1919319	1922144	-	2826	45	106	10	8	89	111	28	36
Tb427_070038800	Chr7_core_Tb427v10	872481	873554	-	1074	0	0	0	0	0	0	0	0
Tb427_110065000	Chr11_core_Tb427v10	1664178	1665557	-	1380	0	22	0	0	0	2	4	6
Tb427_040023700	Chr4_core_Tb427v10	476324	477280	+	957	0	0	0	0	2	0	0	0
Tb427_110028200	Chr11_core_Tb427v10	632994	634511	+	1518	0	0	5	0	2	0	0	0
Tb427_070011600	Chr7_core_Tb427v10	173183	174103	-	921	0	10	0	0	0	0	2	0
Tb427_000749900	unitig_2279_Tb427v10	5874	7331	-	1458	0	4	2	2	10	4	4	8
Tb427_080034400	Chr8_core_Tb427v10	760694	761944	+	1251	0	0	0	0	0	0	0	0
Tb427_080006000	Chr8_core_Tb427v10	28967	31003	-	2037	0	20	0	6	0	8	5	16
Tb427_050030700	Chr5_core_Tb427v10	833065	834636	+	1572	0	0	3	3	0	0	0	0
Tb427_000034600	Chr10_3A_Tb427v10	303518	304327	+	810	0	0	0	0	0	0	0	0
Tb427_100148900	Chr10_core_Tb427v10	3420297	3421445	-	1149	0	0	0	0	0	0	2	0
Tb427_000580200	Chr9_3A_Tb427v10	873527	875257	-	1731	0	0	0	0	0	0	0	0
Tb427_000009700	BES14_Tb427v10	12432	13634	+	1203	0	0	0	0	0	0	0	2
Tb427_000645200:pseudogene	unitig_1835_Tb427v10	39692	40094	+	403	0	0	0	0	0	0	0	0
Tb427_000823800:pseudogene	unitig_3082_Tb427v10	32828	33810	-	983	0	0	0	0	0	0	0	0
Tb427_000235900	Chr1_3A_Tb427v10	1857640	1858986	-	1347	0	0	0	0	0	0	0	0
Tb427_050010500	Chr5_core_Tb427v10	198447	198869	-	423	0	0	0	0	0	0	0	0
Tb427_000615700	Chr9_3B_Tb427v10	507395	508072	+	678	0	0	0	0	0	4	0	0
Tb427_070057800	Chr7_core_Tb427v10	1368940	1371636	+	2697	857	1972	347	281	2278	1975	659	877
Tb427_000723100	unitig_2169_Tb427v10	4859	6274	-	1416	0	0	0	0	0	2	0	0
Tb427_080045700	Chr8_core_Tb427v10	1093422	1094942	-	1521	0	10	0	0	1	0	0	0
Tb427_030032300	Chr3_core_Tb427v10	701958	703919	-	1962	0	4	0	0	2	6	2	10
Tb427_110161200	Chr11_core_Tb427v10	3880850	3885685	+	4836	8	4	0	4	0	0	0	4
Tb427_000612400	Chr9_3B_Tb427v10	379091	380611	-	1521	0	0	0	0	0	0	0	13
Tb427_070020600	Chr7_core_Tb427v10	396917	397513	+	597	0	0	0	0	0	0	1	0
Tb427_030022600	Chr3_core_Tb427v10	467363	468481	+	1119	0	6	4	0	0	0	0	0
Tb427_040055000	Chr4_core_Tb427v10	1332211	1333035	-	825	0	0	0	0	0	0	0	0
Tb427_000328700	Chr4_3A_Tb427v10	727908	728816	-	909	0	0	0	0	0	0	0	0
Tb427_100112400	Chr10_core_Tb427v10	2578432	2578770	-	339	0	0	0	0	0	0	0	0
Tb427_000794400:pseudogene	unitig_2569_Tb427v10	69067	69801	+	735	5	11	0	3	4	4	0	0
Tb427_030054000	Chr3_core_Tb427v10	1285579	1286703	+	1125	0	0	0	0	3	0	0	0
Tb427_100092200	Chr10_core_Tb427v10	2113371	2114381	+	1011	0	8	4	2	2	2	0	4
Tb427_000098200:pseudogene	Chr10_3B_Tb427v10	689944	691410	-	1467	0	0	0	0	0	0	0	0
Tb427_090054900	Chr9_core_Tb427v10	1250923	1252305	-	1383	2	12	1	10	12	8	0	4
Tb427_000176400	Chr1_3A_Tb427v10	54463	55314	-	852	0	0	0	0	2	6	6	2
Tb427_050027800	Chr5_core_Tb427v10	733681	736209	-	2529	0	16	0	0	0	2	0	2
Tb427_090016900	Chr9_core_Tb427v10	344336	345568	-	1233	11	11	3	4	42	27	9	3
Tb427_000321500:pseudogene	Chr4_3A_Tb427v10	509166	510205	-	1040	0	0	0	0	0	0	3	0
Tb427_080067400	Chr8_core_Tb427v10	1683887	1685896	+	2010	0	0	0	0	0	6	6	0
Tb427_000126200	Chr11_3A_Tb427v10	511349	512746	+	1398	0	0	0	0	0	0	0	0
Tb427_000204000:pseudogene	Chr1_3A_Tb427v10	872991	873862	-	872	0	0	0	0	0	0	0	0
Tb427_000453700	Chr6_3B_Tb427v10	1064682	1065141	-	460	0	0	0	0	0	0	0	0
Tb427_070026700	Chr7_core_Tb427v10	552805	553179	-	375	0	12	0	0	0	0	0	0
Tb427_040009000	Chr4_core_Tb427v10	122249	123076	-	828	56	12	6	11	24	34	13	17
Tb427_000718400	unitig_2139_Tb427v10	1594	1881	-	288	0	0	0	0	0	0	0	0
Tb427_110136200	Chr11_core_Tb427v10	3262402	3262767	-	366	163	164	41	19	98	127	40	38
Tb427_000497400	Chr8_3A_Tb427v10	412492	413049	-	558	0	0	0	0	0	0	0	0
Tb427_090065400	Chr9_core_Tb427v10	1493228	1494913	+	1686	0	26	0	4	2	24	1	14
Tb427_000639000	unitig_166_Tb427v10	79318	80622	-	1305	0	1	0	0	4	2	0	0
Tb427_000654800:pseudogene	unitig_1853_Tb427v10	16285	17943	-	1659	117	8	2	1	50	33	6	5
Tb427_000808100:pseudogene	unitig_2801_Tb427v10	22709	23176	-	468	0	0	0	0	2	0	0	0
Tb427_040027200	Chr4_core_Tb427v10	570502	574536	+	4035	0	8	2	0	2	0	0	2
Tb427_000415100:pseudogene	Chr6_3A_Tb427v10	1145903	1147302	-	1400	0	0	0	0	0	0	0	0
Tb427_070072200	Chr7_core_Tb427v10	1802907	1804523	-	1617	0	16	12	13	13	18	0	20
Tb427_030030900	Chr3_core_Tb427v10	660729	661838	-	1110	0	13	0	0	2	0	2	4
Tb427_000676200	unitig_1903_Tb427v10	3022	5079	+	2058	0	0	0	0	0	0	0	0
Tb427_100144400	Chr10_core_Tb427v10	3331286	3333505	-	2220	0	38	0	0	0	0	0	0
Tb427_000310900:pseudogene	Chr4_3A_Tb427v10	182413	182878	-	466	0	1	0	0	0	0	0	0
Tb427_000839400	unitig_520_Tb427v10	26914	27489	-	576	0	0	0	0	0	0	0	0
Tb427_000414800:pseudogene	Chr6_3A_Tb427v10	1133792	1135301	-	1510	0	0	0	0	0	0	0	0
Tb427_010032400:pseudogene	Chr1_core_Tb427v10	820848	821828	+	981	0	2	2	0	0	0	13	4
Tb427_100069500	Chr10_core_Tb427v10	1640729	1642417	+	1689	1	2	2	0	0	4	2	0
Tb427_000231200:pseudogene	Chr1_3A_Tb427v10	1710685	1711668	+	984	0	0	0	0	2	0	2	0
Tb427_060008600:pseudogene	Chr6_core_Tb427v10	134333	135685	+	1353	0	4	0	0	0	0	0	4
Tb427_000108400:pseudogene	Chr10_5B_Tb427v10	19041	19960	-	920	0	0	0	0	0	0	0	0
Tb427_000643600:pseudogene	unitig_182_Tb427v10	11623	12962	+	1340	0	2	0	0	0	0	2	0
Tb427_000013500	BES17_Tb427v10	45914	47806	+	1893	2	0	2	0	0	0	0	4
Tb427_080009700	Chr8_core_Tb427v10	159866	161278	-	1413	0	12	0	2	0	4	4	0
Tb427_000774400:pseudogene	unitig_2467_Tb427v10	785	2443	+	1659	4	3	6	1	1	1	2	2
Tb427_000583800	Chr9_3A_Tb427v10	992659	993000	+	342	0	0	0	0	0	0	0	0
Tb427_000845100	Chr10_3A_Tb427v10	932093	933010	+	918	0	0	0	0	0	0	0	0
Tb427_000273700	Chr1_5A_Tb427v10	167565	167990	+	426	0	0	0	0	0	0	0	0
Tb427_070031400	Chr7_core_Tb427v10	695360	695722	-	363	53	22	19	8	11	14	2	12
Tb427_000736800:pseudogene	unitig_2217_Tb427v10	44048	44398	-	351	0	0	0	0	0	0	0	0
Tb427_000836300:pseudogene	unitig_464_Tb427VSG-315_and_Tb427VSG-369_Tb427v10	22094	23790	+	1697	0	12	274	217	26	14	5266	4984
Tb427_000692300:pseudogene	unitig_1967_Tb427v10	3	720	-	718	0	0	0	0	0	0	0	0
Tb427_110101600	Chr11_core_Tb427v10	2585363	2585887	-	525	0	0	0	0	0	0	0	0
Tb427_000012300:pseudogene	BES15_Tb427v10	86094	86993	+	900	0	0	0	0	0	0	2	0
Tb427_070063600	Chr7_core_Tb427v10	1556904	1557359	+	456	0	0	0	1	0	0	0	0
Tb427_070078600	Chr7_core_Tb427v10	2025756	2029529	-	3774	0	8	1	0	0	0	0	0
Tb427_000518500:pseudogene	Chr8_5A_Tb427v10	568674	570078	+	1405	0	0	0	0	0	0	0	0
Tb427_000634800	unitig_104_Tb427v10	261	1778	-	1518	4217	16179	110800	96090	39014	35455	42610	85440
Tb427_000107500:pseudogene	Chr10_5A_Tb427v10	45140	46168	-	1029	0	0	0	0	7	14	0	12
Tb427_080087500	Chr8_core_Tb427v10	2300231	2302219	+	1989	0	0	0	0	0	24	0	2
Tb427_000804300	unitig_2702_Tb427v10	23182	25755	+	2574	53	30	2	4	14	30	11	5
Tb427_030014000	Chr3_core_Tb427v10	247696	248847	+	1152	81	49	22	13	20	21	13	7
Tb427_100031200	Chr10_core_Tb427v10	650148	650714	+	567	0	0	0	0	0	0	6	0
Tb427_000716600	unitig_2137_Tb427v10	13838	14473	-	636	0	0	0	0	0	0	3	0
Tb427_000334700	Chr4_3A_Tb427v10	917248	917919	-	672	0	0	0	0	0	0	0	0
Tb427_000572800:pseudogene	Chr9_3A_Tb427v10	657744	659185	+	1442	0	0	0	0	0	0	0	0
Tb427_100120600	Chr10_core_Tb427v10	2769104	2771137	+	2034	0	25	0	0	0	0	0	0
Tb427_100110900	Chr10_core_Tb427v10	2564110	2564505	-	396	41	14	4	8	28	38	4	10
Tb427_000361800:pseudogene	Chr5_3A_Tb427v10	369293	369672	-	380	0	0	0	0	0	0	2	0
Tb427_000532500:pseudogene	Chr8_5B_Tb427v10	253804	255080	+	1277	0	0	0	0	0	0	0	0
Tb427_100121800	Chr10_core_Tb427v10	2782254	2782320	+	67	0	0	0	0	0	0	0	0
Tb427_100090600	Chr10_core_Tb427v10	2063659	2064237	+	579	44	92	13	9	20	47	11	29
Tb427_000389900:pseudogene	Chr6_3A_Tb427v10	357775	358252	+	478	0	0	0	0	0	0	0	0
Tb427_000762600	unitig_2344_Tb427v10	2007	4031	-	2025	0	0	0	0	0	0	0	0
Tb427_100111200	Chr10_core_Tb427v10	2567536	2567874	-	339	0	2	0	0	2	0	2	0
Tb427_000038100:pseudogene	Chr10_3A_Tb427v10	417839	419258	-	1420	0	0	0	0	0	0	0	0
Tb427_080022800	Chr8_core_Tb427v10	501381	502061	+	681	0	15	4	6	0	6	1	0
Tb427_000384800:pseudogene	Chr6_3A_Tb427v10	200311	202050	-	1740	0	0	0	0	0	0	0	0
Tb427_090020700	Chr9_core_Tb427v10	422258	424627	+	2370	0	10	2	0	0	18	2	0
Tb427_090021300	Chr9_core_Tb427v10	430973	431233	+	261	0	0	0	0	0	0	0	0
Tb427_080027000	Chr8_core_Tb427v10	581401	585798	+	4398	0	12	0	0	0	0	0	0
Tb427_110085300:pseudogene	Chr11_core_Tb427v10	2170635	2171356	-	722	0	0	0	0	2	0	0	0
Tb427_000325600:pseudogene	Chr4_3A_Tb427v10	632155	633751	-	1597	0	0	0	0	0	0	0	0
Tb427_110107600	Chr11_core_Tb427v10	2691451	2698068	+	6618	8	88	11	4	69	93	9	17
Tb427_000186200:pseudogene	Chr1_3A_Tb427v10	339006	340580	-	1575	0	0	2	0	8	8	42	48
Tb427_080041400	Chr8_core_Tb427v10	974355	976253	-	1899	0	6	0	0	26	10	0	4
Tb427_000764500:pseudogene	unitig_2448_Tb427v10	24656	26516	-	1861	73	25	6	2	27	10	5	12
Tb427_060047900	Chr6_core_Tb427v10	1101516	1102595	-	1080	14	49	3	4	3	17	0	5
Tb427_000596100:pseudogene	Chr9_3A_Tb427v10	1363823	1364621	+	799	0	0	0	0	0	0	0	0
Tb427_080010000	Chr8_core_Tb427v10	173791	175599	-	1809	0	19	0	2	3	0	1	1
Tb427_110188100	Chr11_core_Tb427v10	4570381	4571040	-	660	0	0	0	2	0	9	0	2
